denomination,DEMOCRAT,REPUBLICAN,NA,total_clergy,pct_democrat,pct_republican
AME,90,2,16,108,83.33333333333334,1.8518518518518516
Baptist,130,28,34,192,67.70833333333334,14.583333333333334
Catholic,31,18,3,52,59.61538461538461,34.61538461538461
Church of Christ,25,4,2,31,80.64516129032258,12.903225806451612
Episcopal,96,2,21,119,80.67226890756302,1.680672268907563
Jewish,1,NA,NA,NA,NA,NA
Lutheran,82,12,10,104,78.84615384615384,11.538461538461538
Methodist,145,13,14,172,84.30232558139535,7.55813953488372
Orthodox,2,5,NA,NA,NA,NA
Presbyterian,80,8,10,98,81.63265306122449,8.16326530612245
Retired,47,6,10,63,74.60317460317461,9.523809523809524
Self Employed,130,44,23,197,65.98984771573603,22.33502538071066
Seventh-Day Adventist,48,6,3,57,84.21052631578947,10.526315789473683
